id,opponent,opponentName,start,end,icon,color,age_group,favoriteActivity,height,zipcode,state,latitude,longitude,runTime
27,fast-person,Fast person,2018-08-25T15:31:38.640Z,2018-08-25T15:31:42.290Z,triangle-up,#D39827,Adult,Art,72,88001,NM,32.2901,-106.7539,3.65
26,cartoon-character,Cartoon character,2018-08-25T15:30:56.162Z,2018-08-25T15:31:00.832Z,diamond,#33820D,Adult,Other,68,47408,IN,39.2303,-86.4692,4.67
25,fast-animal,Fast animal,2018-08-25T15:29:49.840Z,2018-08-25T15:29:59.248Z,diamond,#9B180F,Adult,Other,68,47408,IN,39.2303,-86.4692,9.408
24,fast-animal,Fast animal,2018-08-25T15:24:20.996Z,2018-08-25T15:24:23.062Z,cross,#D30706,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,2.066
23,fast-animal,Fast animal,2018-08-25T15:18:48.206Z,2018-08-25T15:18:51.388Z,square,#33820D,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.182
22,fast-person,Fast person,2018-08-25T15:18:14.894Z,2018-08-25T15:18:18.276Z,cross,#D36E44,Adult,Gaming,70,47401,IN,39.1401,-86.5083,3.382
21,fast-person,Fast person,2018-08-25T15:17:49.542Z,2018-08-25T15:17:52.660Z,cross,#D372D2,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.118
20,fast-person,Fast person,2018-08-25T15:07:29.106Z,2018-08-25T15:07:32.662Z,triangle-up,#D3D406,Teen,Gaming,71,35242,AL,33.3813,-86.7046,3.556
19,fast-animal,Fast animal,2018-08-25T15:03:47.074Z,2018-08-25T15:03:53.404Z,star,#D3D406,Adult,Other,73,47404,IN,39.195,-86.5757,6.33
18,fast-animal,Fast animal,2018-08-25T15:02:25.556Z,2018-08-25T15:02:28.958Z,cross,#D372D2,Adult,Gaming,70,47401,IN,39.1401,-86.5083,3.402
17,fast-animal,Fast animal,2018-08-25T14:59:08.986Z,2018-08-25T14:59:13.028Z,cross,#0707D2,Pre-Teen,Art,50,47408,IN,39.2303,-86.4692,4.042
16,fast-animal,Fast animal,2018-08-25T14:57:49.906Z,2018-08-25T14:58:03.450Z,cross,#55D4D2,Pre-Teen,Art,50,47408,IN,39.2303,-86.4692,13.544
15,cartoon-character,Cartoon character,2018-08-25T14:57:10.242Z,2018-08-25T14:57:14.290Z,star,#D372D2,Teen,Gaming,5,47401,IN,39.1401,-86.5083,4.048
14,cartoon-character,Cartoon character,2018-08-25T14:56:05.012Z,2018-08-25T14:56:19.186Z,cross,#D30706,Teen,Art,5,47401,IN,39.1401,-86.5083,14.174
13,fast-animal,Fast animal,2018-08-25T14:54:24.952Z,2018-08-25T14:54:32.178Z,diamond,#D36E44,Pre-Teen,Art,50,47408,IN,39.2303,-86.4692,7.226
12,fast-person,Fast person,2018-08-25T14:51:32.568Z,2018-08-25T14:51:35.790Z,diamond,#D3D406,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.222
11,fast-animal,Fast animal,2018-08-25T14:49:23.288Z,2018-08-25T14:49:26.784Z,triangle-up,#D30706,Pre-Teen,Gaming,48,47408,IN,39.2303,-86.4692,3.496
